source_id,source_name,category,website,extraction_method,scraper_class,rate_limit_seconds,auth_env_var,fields_extracted,description,asset
dune_eth_staking_validators_depositors,Dune Analytics,Blockchain,https://dune.com,API JSON,DuneScraper,2,DUNE_API_KEY,"Total ETH Deposited, Total Validators, Distinct Depositor Addresses",Number of validators and unique depositors in ETH staking; measures network decentralization and breadth of participation,ethereum
dune_eth_staking,Dune Analytics,Blockchain,https://dune.com,API JSON,DuneScraper,2,DUNE_API_KEY,"Total ETH Deposited, Total Validators, Distinct Depositor Addresses",Combined ETH staking health metrics; reflects confidence in Ethereum's long-term value and yield-seeking behavior,ethereum
fred_consumer_confidence,FRED,Macroeconomic,https://api.stlouisfed.org,API JSON,FredScraper,0.5,FRED_API_KEY,"Date, Value, Series ID, Series Name, Realtime Start/End",Survey-based index of consumer optimism about current and future economic conditions; leading indicator that predicts consumer spending,
fred_10y_breakeven_inflation,FRED,Macroeconomic,https://api.stlouisfed.org,API JSON,FredScraper,0.5,FRED_API_KEY,"Date, Value, Series ID, Series Name, Realtime Start/End",Market-implied average inflation rate over next 10 years (difference between nominal Treasury and TIPS yields); reflects investor inflation expectations,
fred_consumer_sentiment,FRED,Macroeconomic,https://api.stlouisfed.org,API JSON,FredScraper,0.5,FRED_API_KEY,"Date, Value, Series ID, Series Name, Realtime Start/End",University of Michigan survey measuring household views on personal finances and business conditions; precedes changes in consumer spending patterns,
fred_5y5y_forward_inflation,FRED,Macroeconomic,https://api.stlouisfed.org,API JSON,FredScraper,0.5,FRED_API_KEY,"Date, Value, Series ID, Series Name, Realtime Start/End",Expected inflation rate starting 5 years from now for the following 5 years; measures long-term inflation anchoring and Fed credibility,
fred_oecd_amplitude_adjusted,FRED,Macroeconomic,https://api.stlouisfed.org,API JSON,FredScraper,0.5,FRED_API_KEY,"Date, Value, Series ID, Series Name, Realtime Start/End",OECD composite leading indicator designed to predict economic turning points; values above 100 indicate expansion and below 100 indicate contraction,
fred_cleveland_1yr_inflation,FRED,Macroeconomic,https://api.stlouisfed.org,API JSON,FredScraper,0.5,FRED_API_KEY,"Date, Value, Series ID, Series Name, Realtime Start/End",Cleveland Fed model combining market prices and survey data to estimate 1-year inflation expectations; near-term inflation outlook,
fred_cleveland_10yr_inflation,FRED,Macroeconomic,https://api.stlouisfed.org,API JSON,FredScraper,0.5,FRED_API_KEY,"Date, Value, Series ID, Series Name, Realtime Start/End",Cleveland Fed model estimate of 10-year inflation expectations; measures whether long-term inflation expectations remain anchored near Fed's 2% target,
umich_consumer_surveys,UMich Surveys,Macroeconomic,https://www.sca.isr.umich.edu,CSV Download,UMichScraper,2,,"Index of Consumer Sentiment (ICS_ALL), Current Economic Conditions (ICC), Consumer Expectations (ICE), Year Ahead Inflation (PX_MD), Long Run Inflation (PX5_MD)",Monthly survey of consumer attitudes separating current conditions from future expectations plus inflation outlook; key input for forecasting consumer behavior,
dg_ecfin_surveys,DG ECFIN,Macroeconomic,https://ec.europa.eu/economy_finance/db_indicators/surveys,ZIP Excel,DGECFINScraper,5,,"Economic Sentiment Indicator (EU/EA), Employment Expectations Indicator (EU/EA), Flash Consumer Confidence (EA)",European Commission surveys tracking business and consumer confidence across EU; leading indicators for European economic activity,
alphavantage_company_overview,Alpha Vantage,Equity,https://www.alphavantage.co,API JSON,AlphaVantageScraper,12,ALPHA_VANTAGE_API_KEY,"Symbol, Name, Market Capitalization, Sector, Industry, 52-week High",Fundamental company data including size (market cap) and classification; basic building blocks for stock analysis and screening,
alphavantage_top_20_stocks,Alpha Vantage,Equity,https://www.alphavantage.co,API JSON,AlphaVantageScraper,12,ALPHA_VANTAGE_API_KEY,"Symbol, Name, Market Capitalization, Sector, Industry, 52-week High",Largest publicly traded companies by market capitalization; represents blue-chip stocks that drive major index performance,
dental_swingtradebot_etf_list,SwingTradeBot,Dental ETF,https://swingtradebot.com,Browser DOM,UniversalScraper,,,"Symbol, Name, Grade, % Change, Weighting, Holdings",ETFs with exposure to dental/healthcare sector including technical trading grades; sector-specific investment vehicles for thematic investing,
dental_yahoo_etf_holdings,Yahoo Finance,Dental ETF,https://finance.yahoo.com,Browser DOM,UniversalScraper,,,"Symbol, Name, % Assets, Shares",Individual stock holdings within dental sector ETFs; shows actual company exposure and concentration risk,
dental_fintel_sic_3843,Fintel,Dental ETF,https://fintel.io,Browser DOM,UniversalScraper,,,"Ticker, Company, Market Cap, Country",Companies classified under SIC code 3843 (dental equipment); pure-play dental industry stocks for sector analysis,
dental_portfoliopilot_risk_return,PortfolioPilot,Dental ETF,https://portfoliopilot.com,Browser DOM,UniversalScraper,,,"Ticker, Expected Return, Sharpe Ratio, Beta, Volatility, P/E, Dividend Yield",Risk-adjusted performance metrics for dental stocks; Sharpe ratio measures return per unit of risk while beta shows market sensitivity,
coindesk_rss,CoinDesk,News,https://www.coindesk.com,RSS,,,,Real-time crypto industry news and analysis; market-moving information on regulation, adoption, and major events,
theblock_rss,The Block,News,https://www.theblock.co,RSS,,,,Institutional-focused crypto news with emphasis on data and market structure; covers exchange dynamics and DeFi developments,
decrypt_rss,Decrypt,News,https://decrypt.co,RSS,,,,Consumer-focused crypto news covering culture, technology, and market developments; tracks retail sentiment drivers,
cointelegraph_rss,CoinTelegraph,News,https://cointelegraph.com,RSS,,,,Breaking crypto news with global coverage; often first to report on regulatory developments and major announcements,
ft_fintech_rss,Financial Times,News,https://www.ft.com,RSS,,,,Traditional finance perspective on fintech disruption; institutional viewpoint on crypto and digital assets,
techcrunch_fintech_rss,TechCrunch,News,https://techcrunch.com,RSS,,,,Startup and venture capital focused fintech coverage; tracks funding rounds and emerging companies in financial technology,
